Node Name,Output Tensor Name,Output Tensor Size
1143_Conv_98_DequantizeLinear,1143_Conv_98_dequantized,"(1, 256, 28, 28)"
Conv_98_quant,1146_QuantizeInput,"(1, 256, 28, 28)"
1146_Conv_98_QuantizeLinear,1146_quantized,"(1, 256, 28, 28)"
1146_Conv_100_DequantizeLinear,1146_Conv_100_dequantized,"(1, 256, 28, 28)"
Conv_100_quant,1149_QuantizeInput,"(1, 1024, 28, 28)"
1149_Conv_100_QuantizeLinear,1149_quantized,"(1, 1024, 28, 28)"
1149_Conv_100_DequantizeLinear,1149,"(1, 1024, 28, 28)"
Add_101,785,"(1, 1024, 28, 28)"
Relu_102,786,"(1, 1024, 28, 28)"
786_Conv_103_QuantizeLinear,786_Conv_103_QuantizeLinear,"(1, 1024, 28, 28)"
786_Conv_103_DequantizeLinear,786_Conv_103_dequantized,"(1, 1024, 28, 28)"
